GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
10311	6.40e-68	3.34e-72	0.0306	17.9700551	0.5492829	3387.41	VPS26C	VPS26 endosomal protein sorting factor C
102724200	2.56e-44	2.67e-48	0.0413	14.6033254	0.602413	1543.04	LOC102724200	trafficking protein particle complex subunit 10-like
64968	5.32e-41	8.33e-45	0.064	14.0444548	0.8993417	1355.38	MRPS6	mitochondrial ribosomal protein S6
6612	6.36e-38	1.33e-41	0.0573	13.5119737	0.7736499	3083.8	SUMO3	small ubiquitin like modifier 3
23275	2.71e-37	7.06e-41	0.0489	13.3884677	0.6548473	1924.75	POFUT2	protein O-fucosyltransferase 2
85395	2.05e-36	6.42e-40	0.0633	13.2234826	0.8367161	687.52	SLX9	SLX9 ribosome biogenesis factor
110091775	2.70e-28	9.88e-32	0.0603	11.7216217	0.7072856	482.66	CFAP298-TCP10L	CFAP298-TCP10L readthrough
3455	8.65e-27	3.61e-30	0.062	11.4126626	0.7079175	8197.17	IFNAR2	interferon alpha and beta receptor subunit 2
4731	9.31e-27	4.38e-30	0.0546	11.3960525	0.6218587	1760.04	NDUFV3	NADH:ubiquinone oxidoreductase subunit V3
56894	1.10e-25	5.72e-29	0.0617	11.1699492	0.689573	4436.88	AGPAT3	1-acylglycerol-3-phosphate O-acyltransferase 3
757	1.18e-25	6.80e-29	0.0633	11.1545541	0.7056532	4836.17	TMEM50B	transmembrane protein 50B
29761	1.24e-25	7.76e-29	0.0492	11.1427902	0.5483823	2774.53	USP25	ubiquitin specific peptidase 25
2618	2.95e-24	2.00e-27	0.0555	10.8497762	0.6018178	1813.79	GART	phosphoribosylglycinamide formyltransferase, phosphoribosylglycinamide synthetase, phosphoribosylaminoimidazole synthetase
102724023	8.62e-24	6.30e-27	0.0731	10.7443686	0.7858437	1830.7	LOC102724023	glutamine amidotransferase class 1 domain containing 3B
9946	1.51e-23	1.18e-26	0.058	10.6861472	0.6199873	619.52	CRYZL1	crystallin zeta like 1
114044	3.03e-23	2.53e-26	0.0471	10.6153931	0.4997065	732.15	MCM3AP-AS1	MCM3AP antisense RNA 1
56683	4.60e-23	4.08e-26	0.0672	10.5704853	0.7101625	767.46	CFAP298	cilia and flagella associated protein 298
107985481	9.81e-23	9.22e-26	0.0529	10.4938318	0.5552128	648.86	LOC107985481	
1827	4.26e-22	4.23e-25	0.0675	10.3489571	0.6984426	658.87	RCAN1	regulator of calcineurin 1
